[32mWaf: Entering directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mWaf: Leaving directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mBuild commands will be stored in build/compile_commands.json[0m
[32m'build' finished successfully (0.680s)[0m
Nix Vector Enabled 
1 0 +0.0ms
1 0 +10.0ms
1 0 +20.0ms
1 0 +29.99999899999999999998ms
1 0 +40.0ms
1 0 +50.0ms
2 0 +59.99999899999999999998ms
3 0 +70.0ms
3 0 +80.0ms
4 0 +89.99999899999999999998ms
4 0 +100.0ms
4 0 +110.0ms
4 0 +119.99999899999999999998ms
5 0 +130.0ms
5 0 +140.0ms
6 0 +149.99999899999999999998ms
6 0 +160.0ms
6 0 +170.0ms
6 0 +179.99999899999999999998ms
7 0 +190.0ms
8 0 +200.0ms
9 0 +209.99999899999999999998ms
11 0 +220.0ms
11 0 +230.0ms
11 0 +239.99999899999999999998ms
13 0 +250.0ms
13 0 +260.0ms
13 0 +270.0ms
15 0 +280.0ms
15 0 +289.99999899999999999998ms
16 0 +299.99999899999999999998ms
17 0 +309.99999899999999999998ms
18 0 +320.0ms
18 0 +330.0ms
18 0 +340.0ms
18 0 +350.0ms
19 0 +359.99999899999999999998ms
20 0 +369.99999899999999999998ms
21 0 +380.0ms
22 0 +390.0ms
23 0 +400.0ms
24 0 +410.0ms
24 0 +419.99999899999999999998ms
24 0 +429.99999899999999999998ms
25 0 +440.0ms
26 0 +450.0ms
26 0 +460.0ms
27 0 +470.0ms
29 0 +479.99999899999999999998ms
29 0 +489.99999899999999999998ms
29 0 +500.0ms
30 0 +510.0ms
30 0 +520.0ms
31 0 +530.0ms
33 0 +540.0ms
33 0 +550.0ms
33 0 +560.0ms
33 0 +570.0ms
33 0 +579.99999899999999999998ms
33 0 +589.99999899999999999998ms
33 0 +599.99999899999999999998ms
33 0 +609.99999899999999999998ms
33 0 +619.99999899999999999998ms
33 0 +630.0ms
33 0 +640.0ms
33 0 +650.0ms
33 0 +660.0ms
33 0 +670.0ms
33 0 +680.0ms
33 0 +690.0ms
33 0 +700.0ms
33 0 +709.99999899999999999998ms
33 0 +719.99999899999999999998ms
33 0 +729.99999899999999999998ms
33 0 +739.99999899999999999998ms
33 0 +750.0ms
33 0 +760.0ms
33 0 +770.0ms
33 0 +780.0ms
33 0 +790.0ms
33 0 +800.0ms
33 0 +810.0ms
33 0 +820.0ms
33 0 +830.0ms
33 0 +839.99999899999999999998ms
33 0 +849.99999899999999999998ms
33 0 +859.99999899999999999998ms
33 0 +869.99999899999999999998ms
33 0 +880.0ms
33 0 +890.0ms
33 0 +900.0ms
33 0 +910.0ms
33 0 +920.0ms
33 0 +930.0ms
33 0 +940.0ms
33 0 +950.0ms
33 0 +959.99999899999999999998ms
33 0 +969.99999899999999999998ms
33 0 +979.99999899999999999998ms
33 0 +989.99999899999999999998ms
33 0 +1000.0ms
33 0 +1010.0ms
33 0 +1020.0ms
33 0 +1030.0ms
33 0 +1040.0ms
33 0 +1050.0ms
33 0 +1060.0ms
33 0 +1070.0ms
33 0 +1080.0ms
33 0 +1090.0ms
33 0 +1100.0ms
33 0 +1110.0ms
33 0 +1120.0ms
33 0 +1130.0ms
33 0 +1140.0ms
33 0 +1150.0ms
33 0 +1159.99999899999999999998ms
33 0 +1169.99999899999999999998ms
33 0 +1179.99999899999999999998ms
33 0 +1189.99999899999999999998ms
33 0 +1199.99999899999999999998ms
33 0 +1209.99999899999999999998ms
33 0 +1219.99999899999999999998ms
33 0 +1229.99999899999999999998ms
33 0 +1239.99999899999999999998ms
33 0 +1250.0ms
33 0 +1260.0ms
33 0 +1270.0ms
33 0 +1280.0ms
33 0 +1290.0ms
33 0 +1300.0ms
33 0 +1310.0ms
33 0 +1320.0ms
33 0 +1330.0ms
33 0 +1340.0ms
33 0 +1350.0ms
33 0 +1360.0ms
33 0 +1370.0ms
33 0 +1380.0ms
33 0 +1390.0ms
33 0 +1400.0ms
33 0 +1409.99999899999999999998ms
33 0 +1419.99999899999999999998ms
33 0 +1429.99999899999999999998ms
33 0 +1439.99999899999999999998ms
33 0 +1449.99999899999999999998ms
33 0 +1459.99999899999999999998ms
33 0 +1469.99999899999999999998ms
33 0 +1479.99999899999999999998ms
33 0 +1489.99999899999999999998ms
33 0 +1500.0ms
33 0 +1510.0ms
33 0 +1520.0ms
33 0 +1530.0ms
33 0 +1540.0ms
33 0 +1550.0ms
33 0 +1560.0ms
33 0 +1570.0ms
33 0 +1580.0ms
33 0 +1590.0ms
33 0 +1600.0ms
33 0 +1610.0ms
33 0 +1620.0ms
33 0 +1630.0ms
33 0 +1640.0ms
33 0 +1650.0ms
33 0 +1660.0ms
33 0 +1669.99999899999999999998ms
33 0 +1679.99999899999999999998ms
33 0 +1689.99999899999999999998ms
33 0 +1699.99999899999999999998ms
33 0 +1709.99999899999999999998ms
33 0 +1719.99999899999999999998ms
33 0 +1729.99999899999999999998ms
33 0 +1739.99999899999999999998ms
33 0 +1750.0ms
33 0 +1760.0ms
33 0 +1770.0ms
33 0 +1780.0ms
33 0 +1790.0ms
33 0 +1800.0ms
33 0 +1810.0ms
33 0 +1820.0ms
33 0 +1830.0ms
33 0 +1840.0ms
33 0 +1850.0ms
33 0 +1860.0ms
33 0 +1870.0ms
33 0 +1880.0ms
33 0 +1890.0ms
33 0 +1900.0ms
33 0 +1910.0ms
33 0 +1919.99999899999999999998ms
33 0 +1929.99999899999999999998ms
33 0 +1939.99999899999999999998ms
33 0 +1949.99999899999999999998ms
33 0 +1959.99999899999999999998ms
33 0 +1969.99999899999999999998ms
33 0 +1979.99999899999999999998ms
33 0 +1989.99999899999999999998ms
33 0 +2000.0ms
33 0 +2010.0ms
33 0 +2020.0ms
33 0 +2030.0ms
33 0 +2040.0ms
33 0 +2049.99999899999999999998ms
33 0 +2060.0ms
33 0 +2069.99999899999999999998ms
33 0 +2080.0ms
33 0 +2089.99999899999999999998ms
33 0 +2100.0ms
33 0 +2109.99999899999999999998ms
33 0 +2120.0ms
33 0 +2129.99999899999999999998ms
33 0 +2140.0ms
33 0 +2149.99999899999999999998ms
33 0 +2160.0ms
33 0 +2169.99999899999999999998ms
33 0 +2180.0ms
33 0 +2189.99999899999999999998ms
33 0 +2200.0ms
33 0 +2209.99999899999999999998ms
33 0 +2220.0ms
33 0 +2229.99999899999999999998ms
33 0 +2240.0ms
33 0 +2250.0ms
33 0 +2260.0ms
33 0 +2270.0ms
33 0 +2280.0ms
33 0 +2290.0ms
33 0 +2300.0ms
33 0 +2310.0ms
33 0 +2319.99999899999999999998ms
33 0 +2330.0ms
